step,residual_before_step,requested_tolerance,series_order,a_posteriori_tail_estimate,recent_max_ratio,raw_determinant_defect,stabilization_norm,final_determinant_defect,raw_tangency_defect,raw_geodesic_residual,raw_energy_defect
0,0.548438693018645430437976362769,1.0e-80,109,9.0065625477182930645e-81,0.19598545935821631974,5.9793453202398003365e-82,4.9966073945922386945e-82,1.5536289184701191316e-1201,6.5681237745610237593e-80,1.6865617175624620031e-77,6.3397340453530099982e-80
1,0.360768095941083649803621895071,1.0e-80,76,3.0780712152076911567e-81,0.097950535046729352929,2.8432462689240715621e-82,2.3536904521190109233e-82,0.0,2.1884587938095972826e-80,1.5403578221458832547e-78,2.7733060065669926827e-81
2,0.0232679092169397380443968806361,1.0e-80,36,6.738633375458280429e-81,0.0067228644730423672132,5.0999720972686343608e-83,4.2169326513803646403e-83,0.0,1.8869309942883415933e-81,5.8891878730796687764e-80,5.8435901733883129954e-84
3,0.000435064296226054525931205152484,1.0e-80,33,2.8554323736139047428e-136,0.00009931314079876866203,4.2754220813920987588e-141,3.5350063836322857701e-141,0.0,1.4536585519572415881e-139,2.6861580469212466992e-137,1.6237490010581162298e-142
4,0.0000000395110107667354359156970148766,1.0e-80,33,2.5284128906942235214e-271,7.7733814974352159768e-9,2.8504288356894792115e-279,2.3567928276299206962e-279,7.768144592350595658e-1202,9.6914580413573468931e-278,2.1552897382271762169e-276,2.0883492467164393158e-286
5,4.04315775618104388210639164816e-16,1.0e-80,33,1.4918585874654710841e-536,7.1958214270219783005e-17,1.6632399338413796995e-552,1.375200775976171675e-552,0.0,5.6550157750606909804e-551,1.1939147703593069887e-549,1.1873410561180491065e-567
6,3.0349392403619538841798440766e-32,2.7954388896522126261e-95,33,7.2794388797541404404e-1067,5.9707912855212798511e-33,6.5230166978314918019e-1099,5.3933635442755605623e-1099,3.1072578369402382632e-1201,2.2178256772627072126e-1097,4.9272995152320832263e-1096,6.7176243525542898399e-1130
7,1.55114815170176131899225592271e-64,3.7321564347773340599e-192,33,1.080575408817727778e-2131,3.3236824904421136473e-65,1.5536289184701191316e-1201,0.0,1.5536289184701191316e-1201,8.8515531882627259671e-1266,1.0963323167435423319e-1330,0.0
8,4.17043562662358010916627061489e-129,7.2534440577496630786e-386,33,9.368446792527948739e-4263,8.6179188020808386431e-130,7.768144592350595658e-1202,1.7904688604963912443e-1201,1.5536289184701191316e-1201,1.6810104590868970461e-1330,4.5259896300665670143e-1460,8.0837154296997415818e-1460
9,3.05386898113353638758773309064e-258,1.0e-560,33,2.0749790368443944135e-8524,6.3729505186314925002e-259,1.5536289184701191316e-1201,0.0,1.5536289184701191316e-1201,8.0837154296997415818e-1460,4.8347459354655372904e-1718,8.4121059245876135298e-1718
