k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.47196538854714865411092107828599077156361602008241,0.47196538854714865411092107828599077156361602008241,0.002236,0.002561
1,0.053539990688222789068562192209724171925405061753164,0.046251334579555203645508331247911834194688105819613,0.086563,0.032679
2,0.00056246167499160406118845793670205717679322432800751,0.00049305615546124506426949668662714359392646657924134,0.160845,0.063338
3,0.00000004173036355550229865890093482832167644490043913981,0.000000025885687058491602749436071974188489357914891263582,0.222026,0.088974
4,3.1838502963849318366527678521434907170813095949774e-16,1.4575446218349858885653988304843540542077506211156e-16,0.269569,0.115542
5,1.3361395501912669854030654170269551842100976645601e-32,2.2606062061065521013859198265823783763789668047438e-33,0.317738,0.144748
6,3.2640132844259183114928938531051987546453655851086e-65,1.1116095848642031041081406180191034625205180916364e-66,0.357374,0.173028
7,1.4042692191178161363617980213964139758003992429302e-130,1.3148789192525612666975244441424613481330993707405e-133,0.398799,0.200872
8,3.6053632833712935334028526164216571900110973193888e-261,3.760745781081997078154661699419184251963056590283e-267,0.439157,0.230718
9,1.7133441432487961183056736102700064986649404688902e-522,1.5049745329791567657484189490272872052933578581047e-534,0.479302,0.256425
