k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.78746428490440123579119583580971514405069954057882,0.78746428490440123579119583580971514405069954057882,0.000268,0.000256
1,0.14343613700147075136830502162042046280803098917239,0.14361727766106153712047777430547661665654092378295,0.006942,0.003726
2,0.012676379879498484223173713502209087932697148712828,0.012679140197786213362874432862540915553127837726072,0.013534,0.006721
3,0.00015246310979774544859098164510199960500184567843394,0.00015246335831867293167548361272378216166107565615768,0.019511,0.009878
4,0.000000023230574206176110881690274768074276345091769968059,0.000000023230574207142965525218426103183228677012504231211,0.025137,0.013068
5,5.3965952773542959779186469009407062217555487219089e-16,5.3965952773542959779929659491214613268461606291178e-16,0.030297,0.016241
6,2.9123240587562627864333687811842516815762398686045e-31,2.912324058756262786433368781184251681578574390314e-31,0.034642,0.019385
7,8.4816314232105519787719652329921504620958175544995e-62,8.4816314232105519787719652329921504620958175544995e-62,0.038993,0.022638
8,7.1938071599192653487698590678984269441415099811721e-123,7.1938071599192653487698590678984269441415099811721e-123,0.043338,0.025694
9,5.1750861454105686575847536793586512303725264354595e-245,5.1750861454105686575847536793586512303725264354595e-245,0.047615,0.028676
10,2.678151661242041736804478248116440365133824646908e-489,2.678151661242041736804478248116440365133824646908e-489,0.051941,0.031653
11,7.1724963206135078799670607072181580907250670947261e-978,7.1724963206135078799670607072181580907250670947261e-978,0.057418,0.034571
