k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.58733504521204292370181457691827112731551384983864,0.58733504521204292370181457691827112731551384983864,0.000439,0.000431
1,0.31355933098079431137204034125233354134963645359466,0.23533524523822554252551545091776759477465975521761,0.012963,0.005805
2,0.037214789406414571259329767937314820528653140133448,0.025908807307520753121796390151713903875029683064019,0.024704,0.010646
3,0.0007835497820143737252520284478662232528915511975677,0.00042762998708187890482436505640841655524009406566867,0.035829,0.015520
4,0.00000046567635499560658423325112613118453180576092989333,0.00000012981780561266798305714897462033780745494871350148,0.047277,0.021596
5,0.00000000000014274451360369687848150614904810550009225776860547,0.000000000000011610321501388872554806861504345694912759000888645,0.058077,0.026513
6,1.4892875530582251384084669973233535525743527291443e-26,9.5086236001118113938550252971146576482652798421111e-29,0.068567,0.031778
7,1.4977166958829793922728298137741497183875101766126e-52,6.2641687202147899225042558808122705744759790927525e-57,0.077042,0.037412
8,1.6071226915221602827698085991691401193444880335092e-104,2.7559439579133236824467642627590210290208892144484e-113,0.086658,0.042781
9,1.7690202002418352919647595712013117460092805333481e-208,5.2794110558901454684650121213377015566603885225317e-226,0.095481,0.048186
10,2.2174767928345982010471323354749960569571340812351e-416,1.9526762313954800876309828310228578852857890100236e-451,0.102580,0.053230
11,3.395322131563408037267038434659516470043409322667e-832,2.6553623847431449134103556517156716644664729493535e-902,0.110673,0.058621
