k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.5484386930186454304379763627689399593300129840437,0.5484386930186454304379763627689399593300129840437,0.000672,0.000626
1,0.3607680959410836498036218950712054977734368225623,0.32564648850962189216748605250369606406053376177634,2.021257,0.016090
2,0.023267909216939738044396880636090806420357657010389,0.036064112817066226125261691886046666004634177060283,2.977476,0.029715
3,0.00043506429622605452593120515248439686668380799501287,0.00035643516440304519312791741033795449999605192545247,3.207198,0.042812
4,0.000000039511010766735435915697014876591375513749638055086,0.000000026325850845894359503895429468309727354322270926286,3.399987,0.056178
5,4.0431577561810438821063916481559372936719176033869e-16,1.476852073052624219435204560162046203426574402777e-16,3.598228,0.069326
6,3.03493924036195388417984407660218270038496522684e-32,4.7139454050313631019637176898927956380630140891026e-33,3.790723,0.082565
7,1.5511481517017613189922559227084089716964970797453e-64,4.7784434307810571361550408193882946828739992200138e-66,4.006702,0.096186
8,4.1704356266235801091662706148866175872831057345829e-129,4.861653413469283636289056399264370226502660427839e-132,4.198194,0.110084
9,3.0538689811335363875877330906374740470219597223471e-258,5.017339704452102069453964531022919452744467176301e-264,4.394884,0.124258
10,1.6365966587625025922574692468764384376001015777244e-516,5.364794395872495934753783841463446255066561256454e-528,4.586303,0.137583
