k,exp_residual,ret_residual,exp_cumulative_time_s,ret_cumulative_time_s
0,0.97582548374418002873438514356237468060438906699174,0.97582548374418002873438514356237468060438906699174,0.001169,0.001196
1,0.8201328255431725656838595792040526543895530694194,0.64784931638764043085525595575303900862941338890861,0.088819,0.024914
2,0.10772625925260001455138616451162003411686800770493,0.10375188583595121315310258420877681537366792635102,0.165888,0.047424
3,0.022867152715925827774803012260170328947128194645797,0.018820229504447279477326872603190787214227053109938,0.233804,0.072950
4,0.0011846559764265488430905303167186845128344882918529,0.0007663722116662866922414784464000736982915581281176,0.297837,0.094344
5,0.0000036562744664449513246009905273379785889853765314597,0.0000015725480920547018599928157626953488196248975902279,0.358700,0.115600
6,0.000000000038994565728499850132471744619027720789301534729818,0.0000000000072772540063379645718091060364956912363249667059254,0.407913,0.137056
7,4.4710852601261895400888532181289935676180829812171e-21,1.5552228091971112396291414593680863537493538244206e-22,0.449970,0.158501
8,5.8454080042399913692011244824939847448486041302953e-41,7.0692573536221194852831489150851769019355311308889e-44,0.486054,0.180165
9,9.9865225826892315433178815807290755709840633631773e-81,1.4606868494031073268102706061293646710814816152923e-86,0.520960,0.207514
10,2.9156417931739220616267455287293729970897210128899e-160,6.2377873172308491434462909249252851904213240041355e-172,0.556403,0.229489
11,2.4853431332807093906829614208677298894958766909503e-319,1.1375697346884513679609073155336102271866514631844e-342,0.592360,0.250823
12,1.8058625267922101833151413916853228937008138501976e-637,3.7832710650463716897747282267570255740072475605181e-684,0.626350,0.271646
